Name,Latitude,Longitude
Cairo,30.0561,31.2394
Porto Novo,17.0208,-25.0667
Gaborone,-24.6569,25.9086
Ouagadougou,12.3572,-1.5353
Bujumbura,-3.3825,29.3611
Yaoundé,3.8578,11.5181
Praia,14.9177,-23.5092
Bangui,4.3732,18.5628
N’Djamena,12.11,15.05
Algiers,36.7764,3.0586
Luanda,-8.8383,13.2344
Moroni,-11.7036,43.2536
Brazzaville,-4.2667,15.2833
Kinshasa,-4.3317,15.3139
Yamoussoukro,6.8161,-5.2742000000000004
Djibouti,11.595,43.1481
Cairo,30.8791,-84.205
Malabo,3.7521,8.7737
Asmara,15.3333,38.9167
Addis Ababa,9.0272,38.7369
Libreville,0.3901,9.4544
Banjul,13.4531,-16.5775
Accra,5.6037,-0.187
Conakry,9.5092,-13.7122
Bissau,11.8592,-15.5956
Nairobi,-1.2864,36.8172
Maseru,-29.31,27.48
Monrovia,6.3106,-10.8047
Tripoli,32.8752,13.1875
Antananarivo,-18.9386,47.5214
Lilongwe,-13.9833,33.7833
Bamako,12.6458,-7.9922
Nouakchott,18.0783,-15.9744
Port Louis,-20.1667,57.5
Rabat,34.0253,-6.8361
Maputo,-25.9153,32.5764
Windhoek,-22.57,17.0836
Niamey,13.5086,2.1111
Abuja,9.0556,7.4914
Saint-Denis,-20.8789,55.4481
Kigali,-1.9536,30.0606
São Tomé,0.3333,6.7333
Dakar,14.7319,-17.4572
Victoria,-4.6236,55.4544
Freetown,8.4833,-13.2331
Mogadishu,2.0408,45.3425
Pretoria,-25.7464,28.1881
Juba,4.85,31.6
Khartoum,15.6031,32.5265
Mbabane,-26.3167,31.1333
Dar es Salaam,-6.8,39.2833
Lomé,6.1319,1.2228
Tunis,36.8008,10.18
Kampala,0.3136,32.5811
Lusaka,-15.4167,28.2833
Harare,-17.8292,31.0522
